Field Sample ID,Location ID,Date Sampled,Parameter Name,Report Result,Report Units,Lab Qualifier,Detected,Sample Matrix,Sample Purpose,Sample Type,Filtered,Leached,Start Depth,End Depth,Elevation
S1219C1,S1219,7/16/2013,Arsenic,11.7,mg/kg,,Y,SOIL,REG,SB,N,N,4,4.5,0
S1220A2,S1220,10/2/2013,Arsenic,6.65,mg/kg,,Y,SOIL,REG,SB,N,N,0.5,1,0
S1220B1,S1220,10/2/2013,Arsenic,36.7,mg/kg,,Y,SOIL,REG,SB,N,N,2,2.5,0
S1220D1,S1220,10/2/2013,Arsenic,47.4,mg/kg,,Y,SOIL,REG,SB,N,N,6,6.5,0
S1220D4,S1220,10/2/2013,Arsenic,10.2,mg/kg,,Y,SOIL,REG,SB,N,N,7.5,8,0
#N/A,S1220,10/2/2013,Arsenic,50.8,mg/kg,,Y,SOIL,FD,SB,N,N,0,0,0
S1221A2,S1221,8/8/2013,Arsenic,2.48,mg/kg,,Y,SOIL,REG,SB,N,N,0.5,1,0
S1221F2,S1221,8/8/2013,Arsenic,12.8,mg/kg,,Y,SOIL,REG,SB,N,N,10.5,11,0
S1221G4,S1221,8/8/2013,Arsenic,8.83,mg/kg,,Y,SOIL,REG,SB,N,N,13.5,14,0
S1222A3,S1222,8/16/2013,Arsenic,5.35,mg/kg,,Y,SOIL,REG,SB,N,N,1,1.5,0
S1222I1,S1222,8/16/2013,Arsenic,13.3,mg/kg,,Y,SOIL,REG,SB,N,N,16,16.5,0
S1222I4,S1222,8/16/2013,Arsenic,5.77,mg/kg,,Y,SOIL,REG,SB,N,N,17.5,18,0
S1223A2,S1223,2/4/2013,Arsenic,1.31,mg/kg,J,Y,SOIL,REG,SB,N,N,0.5,1,0
S1223E4,S1223,2/4/2013,Arsenic,1.09,mg/kg,J,Y,SOIL,REG,SB,N,N,9.5,10,0
S1224A2,S1224,6/12/2013,Arsenic,22.7,mg/kg,,Y,SOIL,REG,SB,N,N,0.5,1,0
S1224B1,S1224,6/12/2013,Arsenic,92.4,mg/kg,,Y,SOIL,REG,SB,N,N,2,2.5,0
S1224C3,S1224,6/12/2013,Arsenic,86.7,mg/kg,,Y,SOIL,REG,SB,N,N,5,5.5,0
S1224E2,S1224,6/12/2013,Arsenic,12.2,mg/kg,,Y,SOIL,REG,SB,N,N,8.5,9,0
S1225A2,S1225,6/12/2013,Arsenic,58.8,mg/kg,,Y,SOIL,REG,SB,N,N,0.5,1,0
S1225A3,S1225,6/12/2013,Arsenic,62.5,mg/kg,,Y,SOIL,REG,SB,N,N,1,1.5,0
S1225C4,S1225,6/12/2013,Arsenic,48.6,mg/kg,,Y,SOIL,REG,SB,N,N,5.5,6,0
S1225E2,S1225,6/12/2013,Arsenic,58.5,mg/kg,,Y,SOIL,REG,SB,N,N,8.5,9,0
S1226A2,S1226,6/14/2013,Arsenic,42.5,mg/kg,,Y,SOIL,REG,SB,N,N,0.5,1,0
S1226B1,S1226,6/14/2013,Arsenic,64.4,mg/kg,,Y,SOIL,REG,SB,N,N,2,2.5,0
S1226C3,S1226,6/14/2013,Arsenic,76.1,mg/kg,,Y,SOIL,REG,SB,N,N,5,5.5,0
S1227A1,S1227,6/14/2013,Arsenic,107,mg/kg,,Y,SOIL,REG,SB,N,N,0,0.5,0
S1227A3,S1227,6/14/2013,Arsenic,53.2,mg/kg,,Y,SOIL,REG,SB,N,N,1,1.5,0
S1227B2,S1227,6/14/2013,Arsenic,88,mg/kg,,Y,SOIL,REG,SB,N,N,2.5,3,0
#N/A,S1228,10/16/2012,Arsenic,5.19,mg/kg,,Y,SOIL,FD,SB,N,N,0,0,0
S1228A4,S1228,10/16/2012,Arsenic,3.95,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1228B2,S1228,10/16/2012,Arsenic,25.8,mg/kg,,Y,SOIL,REG,SB,N,N,2.5,3,0
S1228C2,S1228,10/16/2012,Arsenic,8.14,mg/kg,,Y,SOIL,REG,SB,N,N,4.5,5,0
S1229A4,S1229,10/25/2012,Arsenic,1.19,mg/kg,J,Y,SOIL,REG,SB,N,N,1.5,2,0
S1229D2,S1229,10/25/2012,Arsenic,1.99,mg/kg,J,Y,SOIL,REG,SB,N,N,6.5,7,0
S1229E2,S1229,10/25/2012,Arsenic,1.21,mg/kg,J,Y,SOIL,REG,SB,N,N,8.5,9,0
S1229G4,S1229,10/25/2012,Arsenic,2.27,mg/kg,,Y,SOIL,REG,SB,N,N,13.5,14,0
S1230C2,S1230,10/22/2012,Arsenic,6.86,mg/kg,,Y,SOIL,REG,SB,N,N,4.5,5,0
S1230D3,S1230,10/22/2012,Arsenic,20.5,mg/kg,,Y,SOIL,REG,SB,N,N,7,7.5,0
S1231D1,S1231,10/22/2012,Arsenic,18.8,mg/kg,,Y,SOIL,REG,SB,N,N,6,6.5,0
S1231E2,S1231,10/22/2012,Arsenic,21.7,mg/kg,,Y,SOIL,REG,SB,N,N,8.5,9,0
S1231E2R2,S1231,12/3/2013,Arsenic,4.82,mg/kg,U,N,SOIL,RE,SB,N,N,0,0,0
S1231D1R2,S1231,12/3/2013,Arsenic,4.74,mg/kg,U,N,SOIL,RE,SB,N,N,0,0,0
S1232D4,S1232,10/18/2012,Arsenic,16,mg/kg,,Y,SOIL,REG,SB,N,N,7.5,8,0
S1232C2,S1232,10/18/2012,Arsenic,21.7,mg/kg,,Y,SOIL,REG,SB,N,N,4.5,5,0
S1232C4R2,S1232,12/3/2013,Arsenic,10.5,mg/kg,,Y,SOIL,RE,SB,N,N,0,0,0
S1232D4R2,S1232,12/3/2013,Arsenic,16.4,mg/kg,,Y,SOIL,RE,SB,N,N,0,0,0
S1233C2,S1233,10/22/2012,Arsenic,5.48,mg/kg,,Y,SOIL,REG,SB,N,N,4.5,5,0
S1233D3,S1233,10/22/2012,Arsenic,26.1,mg/kg,,Y,SOIL,REG,SB,N,N,7,7.5,0
S1234C4,S1234,10/18/2012,Arsenic,11.9,mg/kg,,Y,SOIL,REG,SB,N,N,5.5,6,0
S1234D4,S1234,10/18/2012,Arsenic,83.3,mg/kg,,Y,SOIL,REG,SB,N,N,7.5,8,0
#N/A,S1234,12/4/2013,Arsenic,21.2,mg/kg,,Y,SOIL,FD,SB,N,N,0,0,0
S1234D4R2,S1234,12/4/2013,Arsenic,24,mg/kg,,Y,SOIL,RE,SB,N,N,0,0,0
S1234C4R2,S1234,12/4/2013,Arsenic,8.46,mg/kg,,Y,SOIL,RE,SB,N,N,0,0,0
S1235C4,S1235,10/18/2012,Arsenic,28.2,mg/kg,,Y,SOIL,REG,SB,N,N,5.5,6,0
S1235E1,S1235,10/18/2012,Arsenic,35.9,mg/kg,,Y,SOIL,REG,SB,N,N,8,8.5,0
S1235E1R2,S1235,12/4/2013,Arsenic,57.5,mg/kg,,Y,SOIL,RE,SB,N,N,0,0,0
S1235C4R2,S1235,12/4/2013,Arsenic,42.6,mg/kg,,Y,SOIL,RE,SB,N,N,0,0,0
S1236C2,S1236,10/17/2012,Arsenic,8.96,mg/kg,,Y,SOIL,REG,SB,N,N,4.5,5,0
S1236D3,S1236,10/17/2012,Arsenic,12.7,mg/kg,,Y,SOIL,REG,SB,N,N,7,7.5,0
S1237C2,S1237,10/17/2012,Arsenic,34.7,mg/kg,,Y,SOIL,REG,SB,N,N,4.5,5,0
S1237D4,S1237,10/17/2012,Arsenic,19.9,mg/kg,,Y,SOIL,REG,SB,N,N,7.5,8,0
S1238C4,S1238,10/17/2012,Arsenic,14.3,mg/kg,,Y,SOIL,REG,SB,N,N,5.5,6,0
S1238E1,S1238,10/17/2012,Arsenic,43.5,mg/kg,,Y,SOIL,REG,SB,N,N,8,8.5,0
S1240A4,S1240,10/8/2012,Arsenic,7.78,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1241A4,S1241,10/8/2012,Arsenic,5.81,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1243A4,S1243,10/11/2012,Arsenic,9.03,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1244A4,S1244,10/1/2012,Arsenic,27.6,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1245A4,S1245,10/1/2012,Arsenic,9.7,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1246A4,S1246,10/4/2012,Arsenic,23.2,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1247A4,S1247,10/4/2012,Arsenic,17.4,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
S1248A4,S1248,10/10/2012,Arsenic,8.93,mg/kg,,Y,SOIL,REG,SB,N,N,1.5,2,0
